,Name,Latitude,Longitude,accessibility_w,accessibility_h,Accessibility,colour
503,Worcester 0532,52.19283735,-2.22129961,WheelchairAccess,InductionLoop,Both,#27AE60
504,Belfast 0947,54.59747719,-5.93045138,WheelchairAccess,None,Wheelchair Only,#003FF6
505,Hayes 0891,51.5195363,-0.4122093,WheelchairAccess,InductionLoop,Both,#27AE60
506,Garstang 0982,53.9000378,-2.7749592,WheelchairAccess,InductionLoop,Both,#27AE60
507,Chester 0718,53.1913007,-2.8854894,WheelchairAccess,InductionLoop,Both,#27AE60
508,Ilford 0212,51.5583545,0.0707406,None,InductionLoop,InductionLoop Only,#FA8406
509,Sheerness 0625,51.44043638,0.76163746,None,None,None,#E74C3C
510,New Milton 1297,50.75360902,-1.65558077,WheelchairAccess,InductionLoop,Both,#27AE60
511,Coventry 0531,52.4084088,-1.5103612,WheelchairAccess,None,Wheelchair Only,#003FF6
512,London 0239,51.51378208,-0.09297497,WheelchairAccess,None,Wheelchair Only,#003FF6
513,Pinner 0970,51.59516899,-0.38458856,WheelchairAccess,InductionLoop,Both,#27AE60
514,Sutton 0261,51.3617324,-0.1925724,None,None,None,#E74C3C
515,Surbiton 0622,51.39196475,-0.30681417,None,None,None,#E74C3C
516,Liverpool 0751,53.41367857,-2.91052736,WheelchairAccess,InductionLoop,Both,#27AE60
517,Shanklin 1441,50.6318022,-1.1783412,WheelchairAccess,InductionLoop,Both,#27AE60
518,Clacton-On-Sea 0681,51.78970521,1.15182615,WheelchairAccess,InductionLoop,Both,#27AE60
519,Ramsey 1178,52.44835853,-0.10653272,None,InductionLoop,InductionLoop Only,#FA8406
520,Dover 0285,51.12711661,1.31014622,WheelchairAccess,InductionLoop,Both,#27AE60
521,Lymington 0426,50.7579346,-1.5443075,None,InductionLoop,InductionLoop Only,#FA8406
522,Newport Pagnell 0390,52.0867015,-0.7235489,WheelchairAccess,InductionLoop,Both,#27AE60
523,Southgate 0664,51.63321747,-0.13136047,WheelchairAccess,None,Wheelchair Only,#003FF6
524,Gosport 0332,50.7950692,-1.1188389,WheelchairAccess,None,Wheelchair Only,#003FF6
525,West Malling 0860,51.29433084,0.40893436,None,InductionLoop,InductionLoop Only,#FA8406
526,Palmers Green 0210,51.61781194,-0.1096967,WheelchairAccess,InductionLoop,Both,#27AE60
527,Peebles 1594,55.65222908,-3.18854031,None,InductionLoop,InductionLoop Only,#FA8406
528,Pontypool 0492,51.70321405,-3.04178041,WheelchairAccess,InductionLoop,Both,#27AE60
529,Aberystwyth 0510,52.4150411,-4.0841313,WheelchairAccess,InductionLoop,Both,#27AE60
530,Ross-On-Wye 0863,51.91448984,-2.58398336,WheelchairAccess,InductionLoop,Both,#27AE60
531,Wymondham 0884,52.5702586,1.1138459,WheelchairAccess,InductionLoop,Both,#27AE60
532,Newton Abbot 0464,50.53075788,-3.60926015,WheelchairAccess,InductionLoop,Both,#27AE60
533,Leicester 0748,52.6359069,-1.1321459,WheelchairAccess,None,Wheelchair Only,#003FF6
534,Worthing 0349,50.81024815,-0.37034935,None,InductionLoop,InductionLoop Only,#FA8406
535,Dartford 0673,51.44496974,0.21682348,WheelchairAccess,InductionLoop,Both,#27AE60
536,Ballymena 0946,54.86607156,-6.27504504,WheelchairAccess,InductionLoop,Both,#27AE60
537,Westbury-On-Trym 1411,51.49317019,-2.61807833,WheelchairAccess,InductionLoop,Both,#27AE60
538,Bilston 0999,52.5651156,-2.0780568,WheelchairAccess,InductionLoop,Both,#27AE60
539,Woodley 0362,51.45234,-0.905883,WheelchairAccess,InductionLoop,Both,#27AE60
540,Felixstowe 0630,51.96315164,1.35175573,WheelchairAccess,InductionLoop,Both,#27AE60
541,Edinburgh 0921,55.94287067,-3.28166504,WheelchairAccess,InductionLoop,Both,#27AE60
542,Southampton 0319,50.9050016,-1.40400888,None,InductionLoop,InductionLoop Only,#FA8406
543,Bolton 0772,53.57942537,-2.43053463,None,InductionLoop,InductionLoop Only,#FA8406
544,Leigh-on-Sea 0638,51.54169338,0.65747373,WheelchairAccess,None,Wheelchair Only,#003FF6
545,Manchester 0712,53.48226243,-2.24093221,WheelchairAccess,InductionLoop,Both,#27AE60
546,Northampton 0963,52.26370397,-0.9000957,WheelchairAccess,InductionLoop,Both,#27AE60
547,Worksop 0826,53.30264817,-1.12442604,WheelchairAccess,InductionLoop,Both,#27AE60
548,Lancing 0469,50.82887661,-0.32236598,WheelchairAccess,InductionLoop,Both,#27AE60
549,Newbury 0355,51.4033144,-1.3246001,WheelchairAccess,InductionLoop,Both,#27AE60
550,Chesham 0317,51.70620286,-0.61195251,WheelchairAccess,InductionLoop,Both,#27AE60
551,Bangor 0942,54.66128662,-5.66815562,WheelchairAccess,None,Wheelchair Only,#003FF6
552,Milford Haven 0481,51.71304545,-5.03478795,WheelchairAccess,InductionLoop,Both,#27AE60
553,Bromley 0273,51.4023498,0.0159304,WheelchairAccess,InductionLoop,Both,#27AE60
554,Folkestone 0279,51.07808348,1.17800357,WheelchairAccess,InductionLoop,Both,#27AE60
555,Luton 0656,51.87943424,-0.41733196,WheelchairAccess,InductionLoop,Both,#27AE60
556,Sidcup 0627,51.42649189,0.10195999,WheelchairAccess,InductionLoop,Both,#27AE60
557,Reigate 0339,51.23798295,-0.2091015,None,InductionLoop,InductionLoop Only,#FA8406
558,Ferndown 0423,50.8030033,-1.890541,WheelchairAccess,InductionLoop,Both,#27AE60
559,Whitstable 0670,51.35818949,1.02460743,WheelchairAccess,InductionLoop,Both,#27AE60
560,Atherstone 0885,52.57768406,-1.54739186,None,InductionLoop,InductionLoop Only,#FA8406
561,London 0264,51.4613081,-0.16710472,WheelchairAccess,InductionLoop,Both,#27AE60
562,Port Talbot 0488,51.59456862,-3.78228684,WheelchairAccess,None,Wheelchair Only,#003FF6
563,Leamington Spa 0512,52.2899137,-1.5356297,None,InductionLoop,InductionLoop Only,#FA8406
564,Rainham 0786,51.3635529,0.60777045,WheelchairAccess,InductionLoop,Both,#27AE60
565,Finchley 0205,51.61644352,-0.17651197,WheelchairAccess,InductionLoop,Both,#27AE60
566,Wolverhampton 1326,52.5846859,-2.1280944,None,None,None,#E74C3C
567,Market Harborough 1073,52.47827466,-0.92177744,None,InductionLoop,InductionLoop Only,#FA8406
568,Frome 1206,51.23151696,-2.32131336,WheelchairAccess,InductionLoop,Both,#27AE60
569,St. Ives 1132,52.3231462,-0.07182964,WheelchairAccess,InductionLoop,Both,#27AE60
570,Lichfield 1668,52.683207,-1.8263378,None,None,None,#E74C3C
571,Hythe 1382,51.07139175,1.08401873,None,InductionLoop,InductionLoop Only,#FA8406
572,Skegness 0652,53.14288361,0.33908598,WheelchairAccess,None,Wheelchair Only,#003FF6
573,Burnley 0757,53.78937758,-2.24431541,WheelchairAccess,InductionLoop,Both,#27AE60
574,Watford 0611,51.65833433,-0.40062576,WheelchairAccess,None,Wheelchair Only,#003FF6
575,Borehamwood 0668,51.65578762,-0.27627043,WheelchairAccess,InductionLoop,Both,#27AE60
576,Lanark 0861,55.6737265,-3.7775696,WheelchairAccess,InductionLoop,Both,#27AE60
577,East Grinstead 0344,51.12614922,-0.00994331,WheelchairAccess,InductionLoop,Both,#27AE60
578,Burnham-On-Sea 0432,51.2376019,-2.99736625,WheelchairAccess,InductionLoop,Both,#27AE60
579,Rushden 0647,52.2910749,-0.5980655,WheelchairAccess,None,Wheelchair Only,#003FF6
580,Derby 0583,52.89009407,-1.45113281,None,None,None,#E74C3C
581,Scunthorpe 0840,53.59151109,-0.64768571,WheelchairAccess,InductionLoop,Both,#27AE60
582,Sevenoaks 0468,51.27027761,0.19313675,WheelchairAccess,None,Wheelchair Only,#003FF6
583,Barnet 0238,51.65450451,-0.20177167,WheelchairAccess,InductionLoop,Both,#27AE60
584,Blackpool 0703,53.81868988,-3.05377028,WheelchairAccess,InductionLoop,Both,#27AE60
585,Taunton 0401,51.014489,-3.100755,WheelchairAccess,InductionLoop,Both,#27AE60
586,Princes Risborough 1192,51.72324822,-0.83080986,WheelchairAccess,InductionLoop,Both,#27AE60
587,Durham 0814,54.77682636,-1.57524754,WheelchairAccess,InductionLoop,Both,#27AE60
588,Saffron Walden 0879,52.0230962,0.2406954,WheelchairAccess,None,Wheelchair Only,#003FF6
589,Northwood 0663,51.6114199,-0.4248086,WheelchairAccess,InductionLoop,Both,#27AE60
590,Newcastle Upon Tyne 0824,54.97459682,-1.61107622,WheelchairAccess,InductionLoop,Both,#27AE60
591,Ealing 0217,51.51290378,-0.30522886,WheelchairAccess,None,Wheelchair Only,#003FF6
592,Kings Lynn 0607,52.75392017,0.39608316,WheelchairAccess,InductionLoop,Both,#27AE60
593,Weymouth 0301,50.6105399,-2.4537896,WheelchairAccess,InductionLoop,Both,#27AE60
594,Edgware 0215,51.61584895,-0.27571749,WheelchairAccess,InductionLoop,Both,#27AE60
595,Hounslow 0219,51.46859001,-0.36404944,WheelchairAccess,InductionLoop,Both,#27AE60
596,Leominster 1271,52.22762923,-2.73858113,WheelchairAccess,InductionLoop,Both,#27AE60
597,Melton Mowbray 1196,52.7648531,-0.8880737,WheelchairAccess,InductionLoop,Both,#27AE60
598,Basildon 0208,51.5699613,0.4587507,WheelchairAccess,None,Wheelchair Only,#003FF6
599,Sittingbourne 0383,51.33997018,0.73555795,WheelchairAccess,InductionLoop,Both,#27AE60
600,Coatbridge 0927,55.86257176,-4.02569599,WheelchairAccess,InductionLoop,Both,#27AE60
601,Purley 0628,51.3396087,-0.1154625,WheelchairAccess,None,Wheelchair Only,#003FF6
602,Rye 0497,50.95084604,0.73299047,WheelchairAccess,InductionLoop,Both,#27AE60
603,Leicester 0868,52.60066519,-1.08417291,WheelchairAccess,InductionLoop,Both,#27AE60
604,Glasgow 0913,55.85817947,-4.25307011,WheelchairAccess,None,Wheelchair Only,#003FF6
605,Farnborough 0326,51.290876,-0.7547728,WheelchairAccess,InductionLoop,Both,#27AE60
606,Ashford 0282,51.1493432,0.8710659,WheelchairAccess,InductionLoop,Both,#27AE60
607,Elgin 0920,57.64850531,-3.31475624,WheelchairAccess,InductionLoop,Both,#27AE60
608,Hammersmith 0249,51.49241187,-0.22910691,WheelchairAccess,None,Wheelchair Only,#003FF6
609,Witham 1143,51.79843776,0.63805397,None,InductionLoop,InductionLoop Only,#FA8406
610,Addlestone 0679,51.37170251,-0.48837661,WheelchairAccess,InductionLoop,Both,#27AE60
611,Thame 0356,51.74825216,-0.97904204,None,InductionLoop,InductionLoop Only,#FA8406
612,Bletchley 0615,51.99490434,-0.72988696,WheelchairAccess,InductionLoop,Both,#27AE60
613,Attleborough 1440,52.51827678,1.01756171,WheelchairAccess,InductionLoop,Both,#27AE60
614,Bristol 0411,51.4582603,-2.585583,None,None,None,#E74C3C
615,Dunfermline 1592,56.05010288,-3.4302441,None,InductionLoop,InductionLoop Only,#FA8406
616,Macclesfield 0709,53.2595593,-2.1270736,WheelchairAccess,InductionLoop,Both,#27AE60
617,Stafford 1322,52.72525875,-2.11579696,WheelchairAccess,InductionLoop,Both,#27AE60
618,Northampton 0366,52.2735207,-0.8759081,WheelchairAccess,InductionLoop,Both,#27AE60
619,Newry 0559,54.17520677,-6.3376146,None,None,None,#E74C3C
620,Swindon 0350,51.5401696,-1.7776907,WheelchairAccess,InductionLoop,Both,#27AE60
621,Brighton 0321,50.82285339,-0.14373757,WheelchairAccess,InductionLoop,Both,#27AE60
622,Stafford 0545,52.80526827,-2.11610291,WheelchairAccess,None,Wheelchair Only,#003FF6
623,Wembley 0207,51.5534911,-0.2944792,WheelchairAccess,None,Wheelchair Only,#003FF6
624,Coleraine 0948,55.13131,-6.67167,WheelchairAccess,None,Wheelchair Only,#003FF6
625,Midhurst 1295,50.98640285,-0.73894509,None,InductionLoop,InductionLoop Only,#FA8406
626,York 0396,54.1224793,-1.1914081,None,InductionLoop,InductionLoop Only,#FA8406
627,Hedge End 1223,50.91314855,-1.30474224,WheelchairAccess,InductionLoop,Both,#27AE60
628,Stamford 0653,52.65244127,-0.47781475,None,None,None,#E74C3C
629,Hinckley 0746,52.5417981,-1.3736352,WheelchairAccess,InductionLoop,Both,#27AE60
630,Broadstone 1039,50.7596913,-1.9942681,WheelchairAccess,InductionLoop,Both,#27AE60
631,Northwich 1514,53.26052889,-2.51560641,WheelchairAccess,InductionLoop,Both,#27AE60
632,Swadlincote 1967,52.77385889,-1.55821974,None,None,None,#E74C3C
633,Bury 0725,53.5946345,-2.29209003,WheelchairAccess,InductionLoop,Both,#27AE60
634,Sandwich 1403,51.27401384,1.34126678,None,InductionLoop,InductionLoop Only,#FA8406
635,Farnham 0331,51.21513934,-0.79878825,None,InductionLoop,InductionLoop Only,#FA8406
636,Sheffield 1667,53.41468852,-1.41123972,WheelchairAccess,InductionLoop,Both,#27AE60
637,Redditch 0524,52.306426,-1.941908,None,InductionLoop,InductionLoop Only,#FA8406
638,Buxton 1488,53.2596223,-1.9118012,WheelchairAccess,InductionLoop,Both,#27AE60
639,Telford 0547,52.6770668,-2.4471454,WheelchairAccess,InductionLoop,Both,#27AE60
640,Didcot 1265,51.6072248,-1.2390542,WheelchairAccess,InductionLoop,Both,#27AE60
641,Derby 1270,52.90679898,-1.38104261,WheelchairAccess,InductionLoop,Both,#27AE60
642,Wandsworth 0998,51.454743,-0.193333,WheelchairAccess,None,Wheelchair Only,#003FF6
643,Brierley Hill 0790,52.48282465,-2.11272906,WheelchairAccess,InductionLoop,Both,#27AE60
644,Barnstaple 0465,51.081865,-4.060041,None,InductionLoop,InductionLoop Only,#FA8406
645,Hemel Hempstead 0612,51.7477103,-0.47260005,WheelchairAccess,InductionLoop,Both,#27AE60
