,Name,Latitude,Longitude,accessibility_0,accessibility_1,Accessibility,colour
255,Wimbledon,51.421464,-0.207405,WheelchairAccess,AudioCashMachine,Both,#27AE60
256,"Hounslow, High Street",51.469433,-0.358798,WheelchairAccess,AudioCashMachine,Both,#27AE60
257,Kingston Clarence Street,51.410526,-0.30178,WheelchairAccess,AudioCashMachine,Both,#27AE60
258,New Malden,51.401436,-0.255652,WheelchairAccess,AudioCashMachine,Both,#27AE60
259,"Richmond, Surrey",51.460411,-0.305558,WheelchairAccess,AudioCashMachine,Both,#27AE60
260,Surbiton,51.393162,-0.304766,None,None,None,#E74C3C
261,Twickenham,51.446982,-0.328172,WheelchairAccess,None,Wheelchair Only,#003FF6
262,Kendal,54.3263732,-2.747673,WheelchairAccess,AudioCashMachine,Both,#27AE60
263,"Bridlington, King Street",54.082695,-0.191796,WheelchairAccess,AudioCashMachine,Both,#27AE60
264,"Hull, Merit House",53.720669,-0.426472,WheelchairAccess,AudioCashMachine,Both,#27AE60
265,Amersham-On-The-Hill,51.678196,-0.605261,WheelchairAccess,None,Wheelchair Only,#003FF6
266,Beaconsfield,51.612846,-0.647878,WheelchairAccess,AudioCashMachine,Both,#27AE60
267,"Watford, High Street",51.655441,-0.395689,WheelchairAccess,AudioCashMachine,Both,#27AE60
268,Cleveleys,53.877171,-3.040314,WheelchairAccess,AudioCashMachine,Both,#27AE60
269,Lancaster,54.048515,-2.80165,WheelchairAccess,None,Wheelchair Only,#003FF6
270,Kenilworth,52.342495,-1.579404,WheelchairAccess,AudioCashMachine,Both,#27AE60
271,Stratford-Upon-Avon,52.191463,-1.70747,WheelchairAccess,AudioCashMachine,Both,#27AE60
272,"Bradford, Market Street",53.793885,-1.752111,WheelchairAccess,AudioCashMachine,Both,#27AE60
273,Brighouse,53.701317,-1.781331,WheelchairAccess,AudioCashMachine,Both,#27AE60
274,Cleckheaton,53.725117,-1.711629,WheelchairAccess,AudioCashMachine,Both,#27AE60
275,"Huddersfield, Cloth Hall Street",53.646033,-1.782894,WheelchairAccess,AudioCashMachine,Both,#27AE60
276,Shipley,53.832825,-1.778809,WheelchairAccess,AudioCashMachine,Both,#27AE60
277,Salisbury,51.069298,-1.796516,WheelchairAccess,None,Wheelchair Only,#003FF6
278,Dewsbury,53.691895,-1.629474,WheelchairAccess,AudioCashMachine,Both,#27AE60
279,Morley,53.746029,-1.601432,WheelchairAccess,AudioCashMachine,Both,#27AE60
280,Wakefield,53.682377,-1.501025,WheelchairAccess,AudioCashMachine,Both,#27AE60
281,Shotton,53.212536,-3.040715,WheelchairAccess,AudioCashMachine,Both,#27AE60
282,Bromborough,53.33236,-2.977549,WheelchairAccess,AudioCashMachine,Both,#27AE60
283,"Chester, Eastgate Street",53.190837,-2.889101,WheelchairAccess,AudioCashMachine,Both,#27AE60
284,Ellesmere Port,53.278511,-2.90269,WheelchairAccess,AudioCashMachine,Both,#27AE60
285,Runcorn,53.34148,-2.734478,WheelchairAccess,AudioCashMachine,Both,#27AE60
286,"Birmingham, King's Heath",52.435074,-1.893124,None,None,None,#E74C3C
287,"Birmingham, New Street",52.478929,-1.897804,WheelchairAccess,AudioCashMachine,Both,#27AE60
288,"Birmingham, Jewellery Quarter",52.48716,-1.912864,WheelchairAccess,AudioCashMachine,Both,#27AE60
289,"Birmingham, 1 Centenary Square, Parliament St",52.478866,-1.906925,WheelchairAccess,AudioCashMachine,Both,#27AE60
290,"Shirley, West Midlands",52.409946,-1.825487,WheelchairAccess,AudioCashMachine,Both,#27AE60
291,Solihull,52.414638,-1.779076,WheelchairAccess,AudioCashMachine,Both,#27AE60
292,"Guildford, North Street",51.236988,-0.573162,WheelchairAccess,AudioCashMachine,Both,#27AE60
293,Barrow-In-Furness,54.113541,-3.230338,WheelchairAccess,None,Wheelchair Only,#003FF6
294,Aldershot,51.249268,-0.764225,WheelchairAccess,None,Wheelchair Only,#003FF6
295,Farnham,51.215065,-0.798506,WheelchairAccess,AudioCashMachine,Both,#27AE60
296,Fleet,51.281227,-0.841726,WheelchairAccess,AudioCashMachine,Both,#27AE60
297,Farnborough,51.291982,-0.75847,WheelchairAccess,AudioCashMachine,Both,#27AE60
298,Ormskirk,53.567432,-2.885413,None,None,None,#E74C3C
299,St Helens,53.453739,-2.7392,WheelchairAccess,AudioCashMachine,Both,#27AE60
300,Doncaster,53.52383,-1.13512,WheelchairAccess,AudioCashMachine,Both,#27AE60
301,Stirling,56.1177382,-3.9362711,WheelchairAccess,AudioCashMachine,Both,#27AE60
302,"Swindon, Canal Walk",51.561237,-1.786425,WheelchairAccess,AudioCashMachine,Both,#27AE60
303,Saxmundham,52.214478,1.492666,WheelchairAccess,AudioCashMachine,Both,#27AE60
304,Cromer,52.930557,1.302237,WheelchairAccess,AudioCashMachine,Both,#27AE60
305,"Leeds, Horsforth",53.839135,-1.6388442,WheelchairAccess,AudioCashMachine,Both,#27AE60
306,"Leeds, Chapel Allerton",53.8289674,-1.5377457,WheelchairAccess,AudioCashMachine,Both,#27AE60
307,"Leeds, City Office",53.797781,-1.547274,WheelchairAccess,AudioCashMachine,Both,#27AE60
308,"Leeds, Cross Gates",53.806015,-1.450958,WheelchairAccess,AudioCashMachine,Both,#27AE60
309,Newbury,51.404751,-1.324395,WheelchairAccess,AudioCashMachine,Both,#27AE60
310,Clacton-On-Sea,51.790352,1.153083,WheelchairAccess,AudioCashMachine,Both,#27AE60
311,Ashby-De-La-Zouch,52.747297,-1.470588,WheelchairAccess,AudioCashMachine,Both,#27AE60
312,"Burton-On-Trent, High Street",52.802368,-1.630577,WheelchairAccess,AudioCashMachine,Both,#27AE60
313,Swadlincote,52.77351,-1.555817,WheelchairAccess,AudioCashMachine,Both,#27AE60
314,Hitchin,51.947764,-0.278765,WheelchairAccess,AudioCashMachine,Both,#27AE60
315,Letchworth,51.97953,-0.227971,WheelchairAccess,AudioCashMachine,Both,#27AE60
316,Stevenage,51.901176,-0.203234,WheelchairAccess,AudioCashMachine,Both,#27AE60
317,"Sudbury, Suffolk",52.038113,0.729548,None,None,None,#E74C3C
318,Telford,52.6760153,-2.4464659,WheelchairAccess,AudioCashMachine,Both,#27AE60
319,Camberley,51.338466,-0.744462,WheelchairAccess,AudioCashMachine,Both,#27AE60
320,Godalming,51.185661,-0.615327,WheelchairAccess,AudioCashMachine,Both,#27AE60
321,Woking,51.318245,-0.559349,WheelchairAccess,AudioCashMachine,Both,#27AE60
322,Wisbech,52.665363,0.157723,None,None,None,#E74C3C
323,Hexham,54.970192,-2.100707,None,None,None,#E74C3C
324,Grantham,52.911892,-0.64411,WheelchairAccess,AudioCashMachine,Both,#27AE60
325,Cirencester,51.716797,-1.96818,None,None,None,#E74C3C
326,Chelmsford High Street,51.734421,0.472796,WheelchairAccess,AudioCashMachine,Both,#27AE60
327,"Clevedon, Triangle",51.435982,-2.852818,WheelchairAccess,AudioCashMachine,Both,#27AE60
328,Portishead,51.484398,-2.768727,WheelchairAccess,AudioCashMachine,Both,#27AE60
329,Bala,52.910484,-3.597937,WheelchairAccess,AudioCashMachine,Both,#27AE60
330,"Hampstead, Finchley Road",51.547264,-0.179395,WheelchairAccess,None,Wheelchair Only,#003FF6
331,Hampstead High Street,51.555656,-0.175439,WheelchairAccess,AudioCashMachine,Both,#27AE60
332,Muswell Hill,51.590001,-0.143975,WheelchairAccess,AudioCashMachine,Both,#27AE60
333,North Finchley,51.615643,-0.177122,WheelchairAccess,AudioCashMachine,Both,#27AE60
334,Palmers Green,51.617569,-0.109557,WheelchairAccess,AudioCashMachine,Both,#27AE60
335,Southgate,51.63237,-0.126788,WheelchairAccess,AudioCashMachine,Both,#27AE60
336,Barnet,51.65519,-0.201399,WheelchairAccess,AudioCashMachine,Both,#27AE60
337,Borehamwood & Elstree,51.656757,-0.277759,WheelchairAccess,AudioCashMachine,Both,#27AE60
338,Edgware,51.613659,-0.276588,WheelchairAccess,AudioCashMachine,Both,#27AE60
339,Harrow,51.581604,-0.335304,WheelchairAccess,AudioCashMachine,Both,#27AE60
340,Wembley,51.552258,-0.299306,WheelchairAccess,AudioCashMachine,Both,#27AE60
341,Coalville,52.724545,-1.371499,WheelchairAccess,AudioCashMachine,Both,#27AE60
342,Loughborough,52.770985,-1.206243,WheelchairAccess,AudioCashMachine,Both,#27AE60
343,Sleaford,52.999332,-0.410593,None,None,None,#E74C3C
344,Sittingbourne,51.340122,0.734344,WheelchairAccess,AudioCashMachine,Both,#27AE60
345,"Birmingham, Harborne",52.459038,-1.947867,WheelchairAccess,AudioCashMachine,Both,#27AE60
346,"Birmingham, Northfield",52.415272,-1.970576,WheelchairAccess,AudioCashMachine,Both,#27AE60
347,Redditch,52.30761,-1.941552,WheelchairAccess,AudioCashMachine,Both,#27AE60
348,Harrogate,53.992889,-1.540906,WheelchairAccess,AudioCashMachine,Both,#27AE60
349,Wetherby,53.929138,-1.385563,None,None,None,#E74C3C
350,"Chatham, 231 High Street",51.381691,0.527317,WheelchairAccess,AudioCashMachine,Both,#27AE60
351,"Gillingham, High Street",51.387224,0.545427,WheelchairAccess,AudioCashMachine,Both,#27AE60
352,Strood,51.395981,0.49465,WheelchairAccess,AudioCashMachine,Both,#27AE60
353,Hereford,52.056561,-2.716771,WheelchairAccess,AudioCashMachine,Both,#27AE60
354,Leominster,52.228035,-2.73912,WheelchairAccess,AudioCashMachine,Both,#27AE60
355,Wokingham,51.410478,-0.834085,WheelchairAccess,AudioCashMachine,Both,#27AE60
356,"Woodley, Berkshire",51.452904,-0.905203,WheelchairAccess,AudioCashMachine,Both,#27AE60
357,Daventry,52.257111,-1.162338,WheelchairAccess,AudioCashMachine,Both,#27AE60
358,Ripon,54.136047,-1.524769,WheelchairAccess,AudioCashMachine,Both,#27AE60
359,Inverness,57.477829,-4.223354,WheelchairAccess,AudioCashMachine,Both,#27AE60
360,Newark,53.075954,-0.80839,WheelchairAccess,AudioCashMachine,Both,#27AE60
361,"Scunthorpe, High Street",53.592064,-0.647136,WheelchairAccess,AudioCashMachine,Both,#27AE60
362,Dover,51.1269,1.311455,WheelchairAccess,AudioCashMachine,Both,#27AE60
363,Folkestone,51.079247,1.179986,WheelchairAccess,AudioCashMachine,Both,#27AE60
364,Haywards Heath,50.996535,-0.101654,WheelchairAccess,AudioCashMachine,Both,#27AE60
365,Burgess Hill,50.95565,-0.130366,WheelchairAccess,AudioCashMachine,Both,#27AE60
366,"Rotherham, College Street",53.43108,-1.354823,WheelchairAccess,AudioCashMachine,Both,#27AE60
367,"Sheffield, Darnall",53.386105,-1.411418,WheelchairAccess,AudioCashMachine,Both,#27AE60
368,"Sheffield, Meadowhall",53.41372,-1.411886,WheelchairAccess,AudioCashMachine,Both,#27AE60
369,Honiton,50.799252,-3.189255,WheelchairAccess,AudioCashMachine,Both,#27AE60
370,"Brighton, Ditchling Road",50.844296,-0.135137,WheelchairAccess,AudioCashMachine,Both,#27AE60
371,"Brighton, North Street",50.823132,-0.140617,WheelchairAccess,AudioCashMachine,Both,#27AE60
372,"Hove, Church Road",50.82814,-0.172171,WheelchairAccess,AudioCashMachine,Both,#27AE60
373,Maidstone,51.274198,0.522831,WheelchairAccess,AudioCashMachine,Both,#27AE60
374,Westwood Cross,51.359493,1.392941,WheelchairAccess,AudioCashMachine,Both,#27AE60
375,"Crawley, The Boulevard",51.11692,-0.18756,WheelchairAccess,AudioCashMachine,Both,#27AE60
376,East Grinstead,51.125117,-0.008871,WheelchairAccess,AudioCashMachine,Both,#27AE60
377,Alderney,49.71517,-2.204314,None,None,None,#E74C3C
378,"Carlisle, City Office",54.893533,-2.934584,WheelchairAccess,AudioCashMachine,Both,#27AE60
379,Hinckley,52.540722,-1.372977,WheelchairAccess,AudioCashMachine,Both,#27AE60
380,"Leicester, Belgrave Road",52.649776,-1.122801,WheelchairAccess,AudioCashMachine,Both,#27AE60
381,"Leicester, Clock Tower",52.635399,-1.131698,WheelchairAccess,AudioCashMachine,Both,#27AE60
382,"Leicester, Hinckley Road",52.631214,-1.1483,WheelchairAccess,AudioCashMachine,Both,#27AE60
383,Rayleigh,51.587002,0.605916,WheelchairAccess,AudioCashMachine,Both,#27AE60
384,Southend-On-Sea,51.54052,0.711125,WheelchairAccess,AudioCashMachine,Both,#27AE60
385,Lampeter,52.113026,-4.078337,None,None,None,#E74C3C
386,Basildon,51.570686,0.457693,WheelchairAccess,AudioCashMachine,Both,#27AE60
387,Eastleigh,50.96904,-1.351284,WheelchairAccess,AudioCashMachine,Both,#27AE60
388,"Hythe, Hampshire",50.869774,-1.399005,WheelchairAccess,AudioCashMachine,Both,#27AE60
389,Park Gate,50.872807,-1.268204,WheelchairAccess,AudioCashMachine,Both,#27AE60
390,Southampton City,50.904683,-1.404102,WheelchairAccess,AudioCashMachine,Both,#27AE60
391,Tavistock,50.550343,-4.144841,None,None,None,#E74C3C
392,Bexleyheath,51.457291,0.138885,WheelchairAccess,None,Wheelchair Only,#003FF6
393,Dartford,51.444485,0.218547,WheelchairAccess,AudioCashMachine,Both,#27AE60
394,Gravesend,51.442351,0.368551,WheelchairAccess,AudioCashMachine,Both,#27AE60
395,"Lakeside, Thurrock",51.487061,0.283086,WheelchairAccess,AudioCashMachine,Both,#27AE60
396,Newmarket,52.244102,0.406688,WheelchairAccess,AudioCashMachine,Both,#27AE60
397,Fenchurch Street,51.512043,-0.079615,WheelchairAccess,AudioCashMachine,Both,#27AE60
398,Balham,51.444916,-0.151306,WheelchairAccess,AudioCashMachine,Both,#27AE60
399,Belgravia,51.495963,-0.142787,WheelchairAccess,AudioCashMachine,Both,#27AE60
400,Brixton,51.461502,-0.116014,WheelchairAccess,AudioCashMachine,Both,#27AE60
401,Catford,51.445652,-0.019139,WheelchairAccess,AudioCashMachine,Both,#27AE60
402,Charing Cross,51.508393,-0.126372,WheelchairAccess,AudioCashMachine,Both,#27AE60
403,Clapham Junction,51.4641,-0.165834,WheelchairAccess,AudioCashMachine,Both,#27AE60
404,Bishopsgate,51.513216,-0.084028,WheelchairAccess,AudioCashMachine,Both,#27AE60
405,"Canary Wharf, Canada Place",51.504463,-0.017454,WheelchairAccess,AudioCashMachine,Both,#27AE60
406,"Canary Wharf, Jubilee Place",51.503078,-0.018595,WheelchairAccess,AudioCashMachine,Both,#27AE60
407,Gerrard Street,51.511723,-0.131597,WheelchairAccess,AudioCashMachine,Both,#27AE60
408,Covent Garden,51.511333,-0.124782,WheelchairAccess,AudioCashMachine,Both,#27AE60
409,Knightsbridge,51.499396,-0.164501,WheelchairAccess,AudioCashMachine,Both,#27AE60
410,Lewisham,51.462254,-0.009624,WheelchairAccess,AudioCashMachine,Both,#27AE60
411,New Bond Street,51.51231,-0.144731,WheelchairAccess,AudioCashMachine,Both,#27AE60
412,Pall Mall,51.50544,-0.136854,WheelchairAccess,AudioCashMachine,Both,#27AE60
413,Peckham,51.472145,-0.069397,WheelchairAccess,AudioCashMachine,Both,#27AE60
414,"Piccadilly, London",51.506771,-0.143198,WheelchairAccess,AudioCashMachine,Both,#27AE60
415,Kings Road,51.490989,-0.161213,WheelchairAccess,AudioCashMachine,Both,#27AE60
416,Gloucester Road,51.494181,-0.182244,WheelchairAccess,AudioCashMachine,Both,#27AE60
417,London Bridge,51.504631,-0.090604,WheelchairAccess,AudioCashMachine,Both,#27AE60
418,Fleet Street,51.5143012,-0.1084029,WheelchairAccess,AudioCashMachine,Both,#27AE60
419,Streatham Hill,51.438633,-0.126063,WheelchairAccess,AudioCashMachine,Both,#27AE60
420,Surrey Quays,51.495398,-0.046964,WheelchairAccess,AudioCashMachine,Both,#27AE60
421,Tooting Broadway,51.427799,-0.16854,WheelchairAccess,AudioCashMachine,Both,#27AE60
422,Beckenham,51.406574,-0.028118,WheelchairAccess,AudioCashMachine,Both,#27AE60
423,City of London,51.51302,-0.09204,WheelchairAccess,AudioCashMachine,Both,#27AE60
424,"Sutton, Town Square",51.362362,-0.192827,WheelchairAccess,AudioCashMachine,Both,#27AE60
425,Wallington,51.359241,-0.150118,WheelchairAccess,AudioCashMachine,Both,#27AE60
426,"Croydon, North End",51.377373,-0.102514,WheelchairAccess,AudioCashMachine,Both,#27AE60
427,Alton,51.147766,-0.977089,None,None,None,#E74C3C
428,Lymington,50.758678,-1.54121,WheelchairAccess,AudioCashMachine,Both,#27AE60
429,New Milton,50.752205,-1.654153,WheelchairAccess,AudioCashMachine,Both,#27AE60
430,Minehead,51.205448,-3.479388,WheelchairAccess,AudioCashMachine,Both,#27AE60
431,Market Bosworth,52.623619,-1.401486,WheelchairAccess,AudioCashMachine,Both,#27AE60
432,Nailsea,51.432667,-2.759439,WheelchairAccess,AudioCashMachine,Both,#27AE60
433,Weston-Super-Mare,51.347767,-2.97847,WheelchairAccess,AudioCashMachine,Both,#27AE60
434,Blandford Forum,50.856143,-2.16501,WheelchairAccess,AudioCashMachine,Both,#27AE60
435,Kings Lynn,52.7535453,0.396757,WheelchairAccess,AudioCashMachine,Both,#27AE60
436,Crewe,53.09745,-2.441007,WheelchairAccess,AudioCashMachine,Both,#27AE60
437,Felixstowe,51.96289,1.351677,WheelchairAccess,AudioCashMachine,Both,#27AE60
438,Whitby,54.486366,-0.613599,WheelchairAccess,AudioCashMachine,Both,#27AE60
439,Aberystwyth,52.414738,-4.084735,WheelchairAccess,None,Wheelchair Only,#003FF6
440,"Aylesbury, Market Square",51.816574,-0.81259,WheelchairAccess,AudioCashMachine,Both,#27AE60
441,Darlington,54.526325,-1.555061,WheelchairAccess,AudioCashMachine,Both,#27AE60
442,Chesterfield,53.23587,-1.428987,WheelchairAccess,AudioCashMachine,Both,#27AE60
443,"Norwich, London Street",52.628899,1.294226,WheelchairAccess,AudioCashMachine,Both,#27AE60
444,"Norwich, Mile Cross Lane",52.657307,1.281913,WheelchairAccess,AudioCashMachine,Both,#27AE60
445,Wymondham,52.570431,1.11323,WheelchairAccess,AudioCashMachine,Both,#27AE60
446,Grimsby,53.565788,-0.08508,WheelchairAccess,AudioCashMachine,Both,#27AE60
447,Oswestry,52.859062,-3.055763,WheelchairAccess,AudioCashMachine,Both,#27AE60
448,Barnstaple,51.079411,-4.059352,WheelchairAccess,AudioCashMachine,Both,#27AE60
449,Bideford,51.018631,-4.204827,WheelchairAccess,AudioCashMachine,Both,#27AE60
450,Plymouth Commercial Centre,50.411334,-4.120198,WheelchairAccess,AudioCashMachine,Both,#27AE60
451,Banstead,51.323273,-0.199629,WheelchairAccess,AudioCashMachine,Both,#27AE60
452,Epsom,51.333684,-0.266366,WheelchairAccess,AudioCashMachine,Both,#27AE60
453,Leatherhead,51.295628,-0.329747,WheelchairAccess,AudioCashMachine,Both,#27AE60
454,Halifax,53.722847,-1.861888,WheelchairAccess,AudioCashMachine,Both,#27AE60
455,Arnold,53.004445,-1.127083,WheelchairAccess,AudioCashMachine,Both,#27AE60
456,Mansfield,53.14468,-1.195949,WheelchairAccess,AudioCashMachine,Both,#27AE60
457,Fakenham,52.830173,0.847881,None,None,None,#E74C3C
458,Peterborough,52.572273,-0.242433,WheelchairAccess,AudioCashMachine,Both,#27AE60
459,Launceston,50.636864,-4.361104,None,None,None,#E74C3C
460,Ringwood,50.846157,-1.79253,WheelchairAccess,AudioCashMachine,Both,#27AE60
461,Stowmarket,52.187729,0.994838,WheelchairAccess,AudioCashMachine,Both,#27AE60
462,Yate,51.540714,-2.4131,WheelchairAccess,AudioCashMachine,Both,#27AE60
463,Malton,54.135902,-0.798978,WheelchairAccess,AudioCashMachine,Both,#27AE60
464,Abergavenny,51.822909,-3.019173,WheelchairAccess,None,Wheelchair Only,#003FF6
465,Paignton,50.43586,-3.56804,WheelchairAccess,AudioCashMachine,Both,#27AE60
466,"Torquay, Strand",50.462067,-3.524877,WheelchairAccess,AudioCashMachine,Both,#27AE60
467,Whitehaven,54.547604,-3.586892,None,None,None,#E74C3C
468,Workington,54.644293,-3.545636,WheelchairAccess,AudioCashMachine,Both,#27AE60
469,"Basingstoke, Town Centre",51.264851,-1.087792,WheelchairAccess,AudioCashMachine,Both,#27AE60
470,Wigston Magna,52.586062,-1.106161,WheelchairAccess,AudioCashMachine,Both,#27AE60
471,Worksop,53.304276,-1.124253,WheelchairAccess,AudioCashMachine,Both,#27AE60
472,Tenby,51.671757,-4.698554,WheelchairAccess,AudioCashMachine,Both,#27AE60
473,Goole,53.704674,-0.872697,WheelchairAccess,AudioCashMachine,Both,#27AE60
474,"Newport, Shropshire",52.769249,-2.378796,WheelchairAccess,AudioCashMachine,Both,#27AE60
475,Thame,51.746509,-0.977147,WheelchairAccess,AudioCashMachine,Both,#27AE60
476,Aberdeen,57.146605,-2.098131,WheelchairAccess,None,Wheelchair Only,#003FF6
477,Wrexham,53.046631,-2.996186,WheelchairAccess,AudioCashMachine,Both,#27AE60
478,Dereham,52.680744,0.940922,WheelchairAccess,AudioCashMachine,Both,#27AE60
479,Billericay,51.624752,0.416575,WheelchairAccess,AudioCashMachine,Both,#27AE60
480,Brentwood,51.620274,0.300588,WheelchairAccess,AudioCashMachine,Both,#27AE60
481,Hornchurch,51.561832,0.22147,WheelchairAccess,AudioCashMachine,Both,#27AE60
482,"Scarborough, St Nicholas Street",54.28212,-0.399131,WheelchairAccess,AudioCashMachine,Both,#27AE60
483,Diss,52.377518,1.108599,WheelchairAccess,AudioCashMachine,Both,#27AE60
484,Bridport,50.733685,-2.757017,None,None,None,#E74C3C
485,Leamington Spa,52.289326,-1.535984,WheelchairAccess,AudioCashMachine,Both,#27AE60
486,Hanley,53.02565,-2.175873,WheelchairAccess,AudioCashMachine,Both,#27AE60
487,Newcastle-Under-Lyme,53.010651,-2.227589,WheelchairAccess,AudioCashMachine,Both,#27AE60
488,Neath,51.66209,-3.806037,WheelchairAccess,AudioCashMachine,Both,#27AE60
489,Falmouth,50.155148,-5.06889,WheelchairAccess,AudioCashMachine,Both,#27AE60
490,Monmouth,51.812138,-2.715773,None,None,None,#E74C3C
491,Dumfries,55.0672641,-3.6098682,WheelchairAccess,AudioCashMachine,Both,#27AE60
492,Taunton,51.016441,-3.103605,WheelchairAccess,None,Wheelchair Only,#003FF6
493,Bishops Stortford,51.87196,0.159002,WheelchairAccess,AudioCashMachine,Both,#27AE60
494,Denbigh,53.184189,-3.418392,None,None,None,#E74C3C
495,Prestatyn,53.335587,-3.404864,WheelchairAccess,AudioCashMachine,Both,#27AE60
496,Bexhill-On-Sea,50.840207,0.473316,WheelchairAccess,AudioCashMachine,Both,#27AE60
497,Hertford,51.796081,-0.077189,None,None,None,#E74C3C
498,Uckfield,50.9704682,0.0963996,WheelchairAccess,AudioCashMachine,Both,#27AE60
499,Congleton,53.163025,-2.211494,WheelchairAccess,AudioCashMachine,Both,#27AE60
500,Macclesfield,53.2596392,-2.1272832,WheelchairAccess,AudioCashMachine,Both,#27AE60
501,Colwyn Bay,53.295097,-3.728112,WheelchairAccess,AudioCashMachine,Both,#27AE60
502,Rhyl,53.319614,-3.490798,WheelchairAccess,AudioCashMachine,Both,#27AE60
503,Porthmadog,52.926109,-4.130639,WheelchairAccess,AudioCashMachine,Both,#27AE60
504,Pwllheli,52.889755,-4.416358,WheelchairAccess,AudioCashMachine,Both,#27AE60
505,Cardigan,52.082924,-4.661484,WheelchairAccess,AudioCashMachine,Both,#27AE60
506,Blackburn,53.74799,-2.481065,WheelchairAccess,AudioCashMachine,Both,#27AE60
507,"Bury, Lancashire",53.593262,-2.298064,WheelchairAccess,AudioCashMachine,Both,#27AE60
508,Dundee,56.4623011,-2.9686021,WheelchairAccess,AudioCashMachine,Both,#27AE60
509,Bedford,52.137329,-0.470622,WheelchairAccess,AudioCashMachine,Both,#27AE60
510,Merthyr Tydfil,51.744701,-3.378585,WheelchairAccess,AudioCashMachine,Both,#27AE60
511,Storrington,50.917816,-0.452296,WheelchairAccess,AudioCashMachine,Both,#27AE60
512,Holsworthy,50.810371,-4.353492,WheelchairAccess,AudioCashMachine,Both,#27AE60
513,Barry,51.406065,-3.267953,WheelchairAccess,AudioCashMachine,Both,#27AE60
514,Penarth,51.437769,-3.173809,WheelchairAccess,AudioCashMachine,Both,#27AE60
515,Bishop Auckland,54.664417,-1.674309,WheelchairAccess,AudioCashMachine,Both,#27AE60
516,Durham,54.776741,-1.575032,WheelchairAccess,AudioCashMachine,Both,#27AE60
517,"Bristol, Cabot Circus",51.45813,-2.58579,WheelchairAccess,AudioCashMachine,Both,#27AE60
518,"Bristol, Filton",51.501508,-2.579777,WheelchairAccess,AudioCashMachine,Both,#27AE60
519,"Bristol, Kingswood",51.462603,-2.507801,WheelchairAccess,AudioCashMachine,Both,#27AE60
520,"Bristol, Downend",51.489094,-2.502867,None,None,None,#E74C3C
521,Westbury-On-Trym,51.49332,-2.619587,WheelchairAccess,AudioCashMachine,Both,#27AE60
522,Chepstow,51.642326,-2.67529,WheelchairAccess,None,Wheelchair Only,#003FF6
523,Keynsham,51.416364,-2.498915,WheelchairAccess,None,Wheelchair Only,#003FF6
524,Thornbury,51.608348,-2.525844,None,None,None,#E74C3C
525,"Edinburgh, Hanover Street",55.953869,-3.197914,WheelchairAccess,AudioCashMachine,Both,#27AE60
526,Berkhamsted,51.760284,-0.565088,WheelchairAccess,AudioCashMachine,Both,#27AE60
527,St Albans,51.751781,-0.339486,WheelchairAccess,AudioCashMachine,Both,#27AE60
528,Caerphilly,51.574036,-3.220554,WheelchairAccess,AudioCashMachine,Both,#27AE60
529,"Cardiff, Canton",51.481388,-3.200955,WheelchairAccess,AudioCashMachine,Both,#27AE60
530,Pontypridd,51.601048,-3.340745,WheelchairAccess,AudioCashMachine,Both,#27AE60
531,Cowbridge,51.462372,-3.449622,WheelchairAccess,AudioCashMachine,Both,#27AE60
532,Talbot Green,51.537758,-3.385269,WheelchairAccess,AudioCashMachine,Both,#27AE60
533,Sark,49.43511,-2.35624,None,None,None,#E74C3C
534,"Reading, Broad Street",51.455853,-0.971828,WheelchairAccess,AudioCashMachine,Both,#27AE60
535,Bramhall,53.355909,-2.165343,None,None,None,#E74C3C
536,Knutsford,53.30418,-2.374963,WheelchairAccess,AudioCashMachine,Both,#27AE60
537,Wilmslow,53.327866,-2.229876,WheelchairAccess,AudioCashMachine,Both,#27AE60
