,Name,Latitude,Longitude,accessibility_0,accessibility_1,Accessibility,colour
58,Wednesbury,52.552052,-2.018348,WheelchairAccess,AudioCashMachine,Both,#27AE60
59,Dudley,52.510815,-2.082292,WheelchairAccess,AudioCashMachine,Both,#27AE60
60,Halesowen,52.448486,-2.050306,WheelchairAccess,AudioCashMachine,Both,#27AE60
61,Kingswinford,52.496815,-2.168037,WheelchairAccess,AudioCashMachine,Both,#27AE60
62,Stourbridge,52.455829,-2.144999,WheelchairAccess,AudioCashMachine,Both,#27AE60
63,West Bromwich,52.520767,-1.998601,WheelchairAccess,AudioCashMachine,Both,#27AE60
64,Braintree,51.878796,0.551795,WheelchairAccess,AudioCashMachine,Both,#27AE60
65,Ross-On-Wye,51.913719,-2.581875,WheelchairAccess,AudioCashMachine,Both,#27AE60
66,Herne Bay,51.37149,1.128786,WheelchairAccess,AudioCashMachine,Both,#27AE60
67,Canterbury,51.277603,1.080666,WheelchairAccess,AudioCashMachine,Both,#27AE60
68,Oakham,52.66951,-0.728393,WheelchairAccess,AudioCashMachine,Both,#27AE60
69,Llangefni,53.255585,-4.311629,WheelchairAccess,AudioCashMachine,Both,#27AE60
70,Yeovil,50.941593,-2.631793,WheelchairAccess,AudioCashMachine,Both,#27AE60
71,Henley-On-Thames,51.537731,-0.90513,None,None,None,#E74C3C
72,Marlow,51.570705,-0.776077,WheelchairAccess,AudioCashMachine,Both,#27AE60
73,Seaford,50.773327,0.102623,WheelchairAccess,AudioCashMachine,Both,#27AE60
74,Boston,52.978691,-0.02393,WheelchairAccess,AudioCashMachine,Both,#27AE60
75,Omagh,54.600006,-7.298677,WheelchairAccess,AudioCashMachine,Both,#27AE60
76,Wells,51.209442,-2.64576,None,None,None,#E74C3C
77,Dorking,51.23172,-0.333179,WheelchairAccess,AudioCashMachine,Both,#27AE60
78,Horsham,51.062374,-0.32975,WheelchairAccess,AudioCashMachine,Both,#27AE60
79,Reigate,51.237827,-0.206536,WheelchairAccess,AudioCashMachine,Both,#27AE60
80,Exmouth,50.61919,-3.412467,WheelchairAccess,AudioCashMachine,Both,#27AE60
81,Newton Abbot,50.530201,-3.609911,WheelchairAccess,AudioCashMachine,Both,#27AE60
82,Coleraine,55.1326,-6.665432,WheelchairAccess,AudioCashMachine,Both,#27AE60
83,Trowbridge,51.320892,-2.207336,WheelchairAccess,AudioCashMachine,Both,#27AE60
84,"Preston, Fishergate",53.757292,-2.70454,WheelchairAccess,AudioCashMachine,Both,#27AE60
